,Unnamed: 0,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,YearsCodedJob,DeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ProblemSolving,LearningNewTech,JobSecurity,DiversityImportant,SeriousWork,WorkPayCare,ChallengeMyself,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,JobProfile,LearnedHiring,Overpaid,EducationImportant,EducationTypes,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Gender,HighestEducationParents,Salary,ExpectedSalary,Assess_Scoring
183,183,184,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,8.0,8.0,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,,,,,,,,,,,,,,,,,Indeed; LinkedIn,I was contacted directly by someone at the company (e.g. internal recruiter),Somewhat underpaid,,,11:00 AM,Java; SQL,Java; JavaScript; Perl; Python,Oracle,Cassandra; MongoDB,,Android; Raspberry Pi; Serverless; Amazon Web Services (AWS),Eclipse,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Male,A bachelor's degree,6606.95933,,0.0
215,215,216,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Less than a year,Web developer,,8.0,7.0,,,,,,,,Less than a year ago,Important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,Important,Stock options; Annual bonus; Vacation/days off; Health benefits,LinkedIn,A career fair or on-campus recruiting event,Neither underpaid nor overpaid,Somewhat important,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,9:00 AM,Go; JavaScript; Python; Ruby,,MongoDB; Redis,Redis,Linux Desktop,,Atom,Turn on some music,Male,High school,4404.639554,,26.0
218,218,219,Professional developer,No,India,No,Employed full-time,Master's degree,Computer science or software engineering,10 to 15 years,Web developer; Mobile developer; Desktop applications developer; Database administrator,,8.0,8.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,LinkedIn; Naukri,"A friend, family member, or former colleague told me",,Very important,Online course; Industry certification; On-the-job training; Self-taught,Noon,C#; JavaScript; SQL; VBA,C#; JavaScript; SQL; TypeScript,MongoDB; SQL Server; SQLite,MongoDB; SQL Server; SQLite,Android; Windows Desktop,Android; Windows Desktop; Amazon Web Services (AWS); Microsoft Azure,Notepad++; Sublime Text; Android Studio; Eclipse; Visual Studio,Keep the room absolutely quiet,Male,A master's degree,67455.78263092657,,0.0
240,240,241,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all important,On-the-job training; Self-taught; Open source contributions,,,,,,,,,,,,44545.600362656354,,0.0
243,243,244,Professional developer,"Yes, both",India,I prefer not to say,Employed full-time,Bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer; Graphics programming; Graphic designer,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38715.28756637354,,0.0
254,254,255,Professional developer,"Yes, both",India,No,Employed full-time,Master's degree,Computer science or software engineering,1 to 5 years,Web developer; Desktop applications developer,,4.0,5.0,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Less than a year ago,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Important,Very important,Important,Important,Very important,Stock options; Vacation/days off; Long-term leave; Expected work hours; Meals,Indeed; LinkedIn; Monster; Naukri,A career fair or on-campus recruiting event,,Important,Online course; Self-taught,9:00 AM,C; C++; Java; JavaScript; PHP; Python; SQL,Assembly; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Julia; Lua; Matlab; Objective-C; Perl; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,MySQL; PostgreSQL; Oracle,Cassandra; MongoDB; Redis; SQL Server; SQLite,Windows Desktop; Linux Desktop,Android; iOS; Windows Phone; Mac OS; Arduino; Raspberry Pi; Serverless; Salesforce; SharePoint; WordPress; Mainframe; Amazon Web Services (AWS); Microsoft Azure,Notepad++; Sublime Text; Vim; Eclipse; IPython / Jupyter,Keep the room absolutely quiet,Male,High school,34152.73776106599,,31.5
259,259,260,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online course; Part-time/evening course; Self-taught; Coding competition; Hackathon,,,,,,,,,,,,,,0.0
263,263,264,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer; Mobile developer,,7.0,5.0,,,,,,,,Not applicable/ never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50307.65896485172,,2.5
269,269,270,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer; Mobile developer; Systems administrator,,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34152.73776106599,,0.0
283,283,284,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer; Mobile developer; Embedded applications/devices developer,,7.0,7.0,Strongly agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,,LinkedIn,A general-purpose job board,,Somewhat important,,9:00 PM,Assembly; Java; JavaScript; PHP; SQL,,MySQL,,Android; Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi; Serverless; WordPress; Amazon Web Services (AWS),,Atom; Notepad++; Sublime Text; Android Studio; Eclipse,Turn on some music,Male,A bachelor's degree,38715.28756637354,,0.0
284,284,285,Professional developer,"Yes, I contribute to open source projects",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,7.0,6.0,Agree,Agree,Agree,Strongly agree,Agree,Disagree,,More than 4 years ago,Important,Very important,Important,Important,Very important,Important,Important,Very important,Very important,Important,Important,Important,Important,Important,Professional development sponsorship; Education sponsorship; Expected work hours; Remote options; Meals,,,Somewhat underpaid,Very important,Self-taught; Coding competition; Hackathon; Open source contributions,Noon,Java; JavaScript; PHP; Python,Elixir; JavaScript; Python; R; Rust,MongoDB; MySQL; Oracle,Cassandra; MongoDB; Redis; MySQL,Android; Linux Desktop; WordPress; Amazon Web Services (AWS),Android; Linux Desktop; Serverless; WordPress; Amazon Web Services (AWS); Microsoft Azure,Sublime Text; Vim; Eclipse,Keep the room absolutely quiet,Male,A bachelor's degree,14682.13185,,30.5
285,285,286,Professional developer,"Yes, I program as a hobby",India,No,"Independent contractor, freelancer, or self-employed",Bachelor's degree,Computer engineering or electrical/electronics engineering,5 to 10 years,Web developer,,7.0,6.0,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Between 1 and 2 years ago,Somewhat important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Vacation/days off; Equipment; Long-term leave; Remote options; Child/elder care,LinkedIn; Monster; Naukri,,,,,10:00 AM,C#; Java; JavaScript; SQL,C#; Go; Java; JavaScript; R; SQL; TypeScript,SQL Server,MongoDB; SQL Server,Amazon Web Services (AWS),Mac OS; Amazon Web Services (AWS),Visual Studio; Visual Studio Code,Turn on some music,Male,I prefer not to answer,66454.53546474077,,32.0
286,286,287,Professional developer,No,India,No,Employed full-time,Bachelor's degree,A business discipline,5 to 10 years,Web developer,,4.0,8.0,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,More than 4 years ago,Somewhat important,Very important,Somewhat important,Important,Very important,Important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Important,Very important,Annual bonus; Vacation/days off; Equipment; Expected work hours; Remote options,,,,,,1:00 PM,C#; JavaScript; PHP; SQL,C#; JavaScript; PHP; SQL,SQL Server; MySQL,SQL Server; MySQL,,Android; Windows Desktop; Linux Desktop; Mac OS,Notepad++; Visual Studio,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Female,A bachelor's degree,57454.15413633065,,29.5
288,288,289,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Systems administrator,,7.0,7.0,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Less than a year ago,Important,Important,Important,Important,Important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Retirement; Annual bonus; Health benefits; Remote options,,,,Very important,Self-taught; Coding competition,,C; C++; JavaScript; Python,JavaScript; R; Ruby; Swift,MySQL,Cassandra; SQL Server,Linux Desktop; Amazon Web Services (AWS),Android; Mac OS; Salesforce; Microsoft Azure,Sublime Text; Vim,Keep the room absolutely quiet,Male,A bachelor's degree,34152.73776106599,,26.0
302,302,303,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,,,,,,,,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
321,321,322,Professional developer,"Yes, I program as a hobby",India,"Yes, part-time",Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,,,,,,,,,,,,,,,38715.28756637354,,0.0
336,336,337,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,Computer programming or Web development,1 to 5 years,Mobile developer,,4.0,4.0,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Between 1 and 2 years ago,Very important,Important,Important,Important,Very important,Very important,Important,Very important,,Important,Very important,Very important,Important,Somewhat important,Annual bonus; Vacation/days off; Health benefits; Professional development sponsorship; Remote options,,,,Important,Industry certification,10:00 AM,C++; Java; Python,,SQLite,Oracle; SQLite,Android,Android; Linux Desktop; Arduino,Notepad++; Android Studio,Turn on some music,Female,A bachelor's degree,34152.73776106599,,29.5
348,348,349,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,5 to 10 years,Web developer,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,Neither underpaid nor overpaid,,,,,,,,,,,,,,38173.5428,,0.0
417,417,418,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,,,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Not applicable/ never,,,,,,,,,,,,,,,Annual bonus; Vacation/days off; Professional development sponsorship; Expected work hours; Remote options,,,,,Online course; Part-time/evening course; Self-taught; Coding competition,7:00 AM,Assembly; C; C++; JavaScript; Matlab; Python,C; C++; Go; Haskell; Java; JavaScript; Matlab; Python,MongoDB,MongoDB; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Arduino,Android; Arduino; Raspberry Pi; Amazon Web Services (AWS),Atom,Keep the room absolutely quiet,Male,,,,2.5
435,435,436,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,,,,,,,,,,Not applicable/ never,Very important,Important,Not very important,Somewhat important,Not very important,Important,Very important,Somewhat important,Not at all important,Somewhat important,Very important,Important,Very important,Somewhat important,Annual bonus; Health benefits; Equipment; Private office; Meals,,,,,Online course; Part-time/evening course; Self-taught; Coding competition; Hackathon,10:00 AM,C++; JavaScript; Python,C++; Go; Haskell; JavaScript; Matlab; Python; TypeScript,MongoDB; Redis; MySQL,MongoDB; Redis; PostgreSQL,Android; Amazon Web Services (AWS); Microsoft Azure,Android; Arduino; Raspberry Pi; Salesforce; Amazon Web Services (AWS); Microsoft Azure,Sublime Text; Vim; Android Studio; IntelliJ; PyCharm,Keep the room absolutely quiet,Male,A bachelor's degree,,,25.5
446,446,447,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Desktop applications developer,,7.0,4.0,Agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Agree,Agree,Between 2 and 4 years ago,Not very important,Very important,Important,Not very important,Very important,Somewhat important,Very important,Important,Somewhat important,Not very important,Not very important,Not at all important,Not very important,Important,Retirement; Annual bonus; Health benefits; Expected work hours,LinkedIn; Naukri,Some other way,Greatly underpaid,Somewhat important,On-the-job training; Self-taught; Coding competition,10:00 AM,C#; JavaScript,C#; Objective-C,SQL Server,MongoDB; SQL Server; SQLite,SharePoint; Microsoft Azure,Amazon Web Services (AWS); Microsoft Azure,Notepad++; Sublime Text; Visual Studio,Turn on some music,Male,A bachelor's degree,5652.620761,,22.5
454,454,455,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer; Developer with a statistics or mathematics background,,10.0,10.0,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Somewhat agree,,,,,,,,,,,,,,,,,LinkedIn,,Somewhat underpaid,Not very important,On-the-job training; Self-taught; Open source contributions,9:00 AM,PHP,JavaScript; PHP,MySQL,,WordPress; Amazon Web Services (AWS),,Sublime Text,Turn on some music,Male,A doctoral degree,7752.165614,,0.0
497,497,498,Used to be a professional developer,"Yes, both",India,"Yes, full-time","Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,,,,0.0,,,,,,,,,Less than a year ago,Important,Important,Important,Important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Important,Health benefits; Equipment; Education sponsorship; Long-term leave; Meals,LinkedIn,,,,,9:00 AM,JavaScript,C++,MySQL,,Mac OS; Amazon Web Services (AWS),Linux Desktop,Vim,Turn on some music,Male,A bachelor's degree,,,31.5
518,518,519,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Web developer,,8.0,5.0,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Naukri,"A friend, family member, or former colleague told me",Somewhat underpaid,,,7:00 AM,C#; JavaScript,JavaScript; TypeScript,,,Serverless; Amazon Web Services (AWS); Microsoft Azure,Serverless; Amazon Web Services (AWS); Microsoft Azure,Visual Studio; Visual Studio Code,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Male,A bachelor's degree,11745.70548,,0.0
551,551,552,Professional developer,"Yes, I contribute to open source projects",India,No,Employed full-time,Master's degree,Mathematics or statistics,1 to 5 years,Web developer; Mobile developer,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,A career fair or on-campus recruiting event,,Very important,Self-taught,,,,,,,,,,,,34152.73776106599,,0.0
556,556,557,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer; Embedded applications/devices developer,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,"A friend, family member, or former colleague told me",,Not very important,Online course; Self-taught,,,,,,,,,,,,44545.600362656354,,0.0
566,566,567,Student,"Yes, both",India,"Yes, part-time","Not employed, but looking for work",Bachelor's degree,Computer engineering or electrical/electronics engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
573,573,574,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Less than a year,Web developer,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,A career fair or on-campus recruiting event,,,,,,,,,,,,,,,33298.75204458006,,0.0
581,581,582,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,8.0,7.0,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Disagree,Strongly agree,More than 4 years ago,Somewhat important,Somewhat important,Not very important,Not very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Important,Important,Very important,Vacation/days off; Equipment; Professional development sponsorship; Expected work hours; Remote options,,,Greatly underpaid,Somewhat important,Online course; Industry certification; On-the-job training; Self-taught,9:00 AM,Java; JavaScript; Scala,Haskell; Java; JavaScript; Scala; TypeScript,MongoDB,MongoDB; MySQL,Windows Desktop; Linux Desktop,Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS),Atom; Notepad++; Eclipse; IntelliJ,Keep the room absolutely quiet,Male,A bachelor's degree,9396.564381,,28.0
616,616,617,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,A humanities discipline,10 to 15 years,,C-suite executive,3.0,4.0,Agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly disagree,Agree,More than 4 years ago,Very important,Important,Important,Very important,Very important,Very important,Important,Important,Very important,Important,Important,Somewhat important,Somewhat important,Very important,Annual bonus; Vacation/days off; Equipment; Private office; Remote options,,"A friend, family member, or former colleague told me",,,,7:00 AM,PHP; Python,Dart; Go,Redis; SQL Server; PostgreSQL; SQLite,,Amazon Web Services (AWS),Android; Linux Desktop; Arduino,Sublime Text; Vim; Android Studio; PHPStorm; PyCharm,Keep the room absolutely quiet,Male,A master's degree,75496.37367740298,,30.0
619,619,620,Student,"Yes, I program as a hobby",India,No,"Not employed, and not looking for work",Primary/elementary school,,,,,,,,,,,,,,Not applicable/ never,Important,Very important,Somewhat important,Very important,Very important,Important,Important,Very important,Important,Somewhat important,Very important,Very important,Very important,Important,Annual bonus; Health benefits; Private office; Remote options; Meals,,,,,,,,,,,,,,,,,,73410.65923,31.0
638,638,639,Student,"Yes, both",India,"Yes, full-time",I prefer not to say,Bachelor's degree,Computer science or software engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44046.39554,0.0
727,727,728,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,9.0,5.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Less than a year ago,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Stock options; Charitable match; Private office; Education sponsorship; Expected work hours,,,Somewhat underpaid,Very important,Industry certification,9:00 AM,JavaScript; PHP; SQL,,SQL Server; MySQL; SQLite,,WordPress,,Sublime Text; NetBeans,Turn on the news or talk radio,Male,A bachelor's degree,2114.226986,,32.5
728,728,729,Professional non-developer who sometimes writes code,No,India,No,Employed full-time,Master's degree,A non-computer-focused engineering discipline,1 to 5 years,,Product manager; Analyst or consultant; Data scientist; Educator or academic,8.0,7.0,Agree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Not applicable/ never,,,,,,,,,,,,,,,None of these,,,,,,9:00 PM,Java; JavaScript; Matlab; R; SQL,C#; Julia,MySQL; PostgreSQL,Cassandra; Redis,Linux Desktop; Amazon Web Services (AWS),Windows Desktop; Raspberry Pi,Notepad++; Eclipse; RStudio,Turn on some music,Male,A master's degree,44545.600362656354,,2.5
734,734,735,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,8.0,6.0,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Disagree,Agree,Less than a year ago,Somewhat important,Important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Important,Very important,Health benefits,Naukri,A general-purpose job board,Greatly underpaid,Important,Self-taught; Open source contributions,10:00 AM,Go; JavaScript; Python; SQL; TypeScript,Go; JavaScript; SQL; TypeScript,MongoDB; SQLite,MongoDB; MySQL; PostgreSQL,,Linux Desktop; Amazon Web Services (AWS),IntelliJ; Visual Studio Code,Keep the room absolutely quiet,Male,Primary/elementary school,11011.59888,,26.0
